Zeit;Kanal A
(ms);(mV)

-19,92499918;-1,67753400
-19,91999918;-1,49114200
-19,91499918;-1,86392700
-19,90999918;-2,42310500
-19,90499918;-2,42310500
-19,89999918;-3,72846900
-19,89499918;-4,10125500
-19,88999918;-3,54207700
-19,88499918;-5,03321800
-19,87999918;-4,66043300
-19,87499918;-5,21961100
-19,86999918;-6,15219000
-19,86499918;-5,96579700
-19,85999918;-6,89776000
-19,85499918;-6,15219000
-19,84999918;-5,59301200
-19,84499918;-5,77940400
-19,83999918;-4,84682600
-19,83499918;-4,66043300
-19,82999918;-4,28764700
-19,82499918;-3,72846900
-19,81999918;-2,79650600
-19,81499918;-2,42310500
-19,80999918;-2,23671300
-19,80499918;-1,49114200
-19,79999918;-0,55917820
-19,79499918;0,18639270
-19,78999918;0,00000000
-19,78499918;0,18639270
-19,77999918;0,93196360
-19,77499918;1,86392700
-19,76999918;2,42310500
-19,76499918;2,42310500
-19,75999918;3,16929100
-19,75499918;2,60949800
-19,74999918;3,54207700
-19,74499918;2,98289800
-19,73999918;3,91486200
-19,73499918;4,28764700
-19,72999919;3,54207700
-19,72499919;5,03321800
-19,71999919;5,03321800
-19,71499919;5,03321800
-19,70999919;5,21961100
-19,70499919;5,40661900
-19,69999919;5,03321800
-19,69499919;5,77940400
-19,68999919;6,33858300
-19,68499919;7,27054500
-19,67999919;6,15219000
-19,67499919;5,77940400
-19,66999919;6,89776000
-19,66499919;6,71136800
-19,65999919;5,59301200
-19,65499919;5,77940400
-19,64999919;5,40661900
-19,64499919;5,21961100
-19,63999919;4,66043300
-19,63499919;5,59301200
-19,62999919;6,33858300
-19,62499919;6,71136800
-19,61999919;5,96579700
-19,61499919;5,96579700
-19,60999919;6,15219000
-19,60499919;5,77940400
-19,59999919;5,59301200
-19,59499919;5,96579700
-19,58999919;5,77940400
-19,58499919;5,77940400
-19,57999919;5,77940400
-19,57499919;5,21961100
-19,56999919;5,59301200
-19,56499919;5,77940400
-19,55999919;5,77940400
-19,55499919;6,15219000
-19,54999919;6,71136800
-19,54499919;6,89776000
-19,53999919;7,64333200
-19,53499919;7,08415300
-19,52999919;6,89776000
-19,52499919;7,27054500
-19,51999919;6,71136800
-19,51499919;6,71136800
-19,50999919;6,33858300
-19,50499919;6,15219000
-19,49999919;6,89776000
-19,49499919;5,96579700
-19,48999919;5,59301200
-19,48499919;7,08415300
-19,47999919;5,21961100
-19,47499919;4,47404100
-19,46999919;3,91486200
-19,46499919;3,91486200
-19,45999919;4,28764700
-19,45499919;4,47404100
-19,44999919;3,54207700
-19,44499919;3,16929100
-19,43999919;3,35568400
-19,43499919;2,42310500
-19,42999919;3,54207700
-19,42499919;2,23671300
-19,41999919;2,60949800
-19,41499919;2,60949800
-19,40999919;2,60949800
-19,40499919;2,23671300
-19,39999919;3,16929100
-19,39499919;2,98289800
-19,38999919;3,35568400
-19,38499919;3,72846900
-19,37999919;3,16929100
-19,37499919;2,05032000
-19,36999919;3,35568400
-19,36499919;4,47404100
-19,35999919;3,54207700
-19,35499919;3,16929100
-19,34999919;3,35568400
-19,34499919;2,60949800
